Item_Name,Description,Price,Allergens,Additives,Category,Position,Image,Group,Extra1,Extra2,Tax_Rate
Whiskey,,,,,Spirituosen,9514.0,,,,,Standard
Baileys,,,,,Spirituosen,9513.0,,,,,Standard
Amaretto,,,,,Spirituosen,9512.0,,,,,Standard
Wodka mit Feige,,,,,Spirituosen,9511.0,,,,,Standard
"Ouzo Pilavas 0,2l",,,,,Spirituosen,9510.0,,,,,Standard
Imiglikos Weiß 0.25l,,,,,Offene Weißweine,700.0,,,,,Standard
Retsina 0.25l,,,,,Offene Weißweine,701.0,,,,,Standard
Samos 0.25l,,,,,Offene Weißweine,702.0,,,,,Standard
"Landwein 0,25l",,,,,Offene Weißweine,703.0,,,,,Standard
"Weinschorle 0,25l",,,,,Offene Weißweine,704.0,,,,,Standard
Imiglikos Rot 0.25l,,,,,Offene Rotweine,705.0,,,,,Standard
Naoussa 0.25l,,,,,Offene Rotweine,706.0,,,,,Standard
Mavrodaphne 0.25l,,,,,Offene Rotweine,707.0,,,,,Standard
"Landwein Rot 0,25l",,,,,Offene Rotweine,708.0,,,,,Standard
"Rose 0,25l",,,,,Offene Roseweine,710.0,,,,,Standard
Souvlaki Kinder,,,,,Kinder Teller,43.0,,,,,Standard
Bifteki Kinder,,,,,Kinder Teller,44.0,,,,,Standard
Zuzuki Kinder,,,,,Kinder Teller,45.0,,,,,Standard
Schnitzel Kinder,,,,,Kinder Teller,46.0,,,,,Standard
Gyros Senioren,,,,,Senioren Teller,84.0,,,,,ermäßigt
Souvlaki Senioren,,,,,Senioren Teller,85.0,,,,,ermäßigt
Bifteki Senioren,,,,,Senioren Teller,86.0,,,,,ermäßigt
Limonade Zitrone Groß,,,,,Limonade,1200.0,,,,,Standard
Limonade Pfirsich Gross,,,,,Limonade,1201.0,,,,,Standard
Limonade Erdbeer Zitrone Gross,,,,,Limonade,1202.0,,,,,Standard
Limonade Apfel Granatapfel Gross,,,,,Limonade,1203.0,,,,,Standard
Limonade Zitrone Klein,,,,,Limonade,1204.0,,,,,Standard
 Limonade Pfirsich Klein,,,,,Limonade,715.0,,,,,Standard
Limonade Erdbeer Zitrone Klein,,,,,Limonade,1206.0,,,,,Standard
Limonade Apfel Granatapfel Klein,,,,,Limonade,1207.0,,,,,Standard
Kalamares in Tomatensauce,"in pikanter Tomaten-Knoblauch-Sauce mit Kartoffeln, gemischtem Salat, Zitronen-Knoblauch-Sauce und Brot",,,,Fisch,92.0,,,,,ermäßigt
"Sprite 0,2l",,,,,Alkoholfreie Getränke In,9577.0,,,,,Standard
"Sprite 0,4l",,,,,Alkoholfreie Getränke In,9578.0,,,,,Standard
 Kalamares mit Gyros,"mit Kartoffeln, gemischtem Salat, Zitronen-Knoblauch-Sauce und Brot",,,,Fisch,94.0,,,,,ermäßigt
